id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
73,Cosmic Journey,Ambient Explorers,dark ambient,contemplative,0.30,70,0.45,0.28,0.88
74,Urban Flow,Street Hip-Hop,hip-hop,focused,0.68,110,0.70,0.72,0.30
75,Country Nights,Country Singers,country,melancholic,0.52,100,0.65,0.58,0.85
76,Orchestral Triumph,Symphony,classical,inspirational,0.62,110,0.87,0.20,0.98
77,Deep House Groove,Deep House,house,relaxed,0.65,120,0.68,0.76,0.22
78,Alt Country Vibes,Alt Country,country,moody,0.55,98,0.62,0.60,0.80
79,Psychedelic Journey,Psychedelic Rock,psychedelic rock,adventurous,0.70,130,0.60,0.65,0.35
80,Dubstep Festival,Bass Nation,dubstep,intense,0.89,145,0.40,0.75,0.05
81,Smooth Soul,Soul Legends,soul,relaxed,0.48,98,0.76,0.65,0.75
82,Indie Dance,Indie Electronic,indie pop,energetic,0.76,125,0.77,0.75,0.28
83,Hip-Hop Classic,Classic Hip-Hop,hip-hop,motivated,0.70,115,0.72,0.74,0.35
84,Blues Nights,Blue Moon,blues,introspective,0.42,90,0.50,0.55,0.90
85,Afro-Latin Fusion,Latin Fusion,afrobeats,happy,0.82,108,0.79,0.81,0.40
86,Electronic Ambient,Ambient Synth,electronic,peaceful,0.35,75,0.68,0.45,0.88
87,Punk Energy,Punk Force,punk,intense,0.91,150,0.52,0.73,0.10
88,Lofi Hip-Hop Study,Study Beats,lofi,focused,0.40,85,0.60,0.62,0.75
89,Indie Folk Acoustic,Folk Artist,indie folk,peaceful,0.38,82,0.65,0.45,0.94
90,Techno Underground,Underground Sound,techno,intense,0.85,130,0.62,0.78,0.08
91,Pop Perfection,Pop Icons,pop,happy,0.80,120,0.85,0.81,0.20
92,Jazz Fusion Modern,Jazz Modern,jazz,energetic,0.62,110,0.70,0.62,0.72
93,Rock Anthem,Rock Stars,rock,motivated,0.82,130,0.75,0.72,0.15
94,Downtempo Evening,Evening Vibes,downtempo,relaxed,0.38,75,0.65,0.58,0.85
95,Symphonic Rock,Rock Symphony,progressive rock,adventurous,0.72,135,0.70,0.65,0.40
96,Electronic Future,Future Beats,electronic,energetic,0.84,138,0.76,0.82,0.10
97,Ambient Meditation,Mindfulness,ambient,peaceful,0.25,65,0.68,0.32,0.95
98,Reggae Vibes,Reggae Masters,reggae,happy,0.68,105,0.81,0.75,0.48
99,Soul Deep Cuts,Soul Deep,soul,romantic,0.50,100,0.77,0.68,0.70
100,Indie Pop Joy,Indie Pop Collective,indie pop,happy,0.74,118,0.81,0.79,0.32
